问题id,问题,SQL,SQL结果,预测SQL,SQL正确,预测SQL结果,结果正确
521,请查询在20200731日期，申万行业分类下家用电器一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200731'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '家用电器'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '002959'}],"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200731'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '家用电器'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",True,[{'股票代码': '002959'}],True
522,在2020年的年度报告里，浙江浙商证券资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '浙江浙商证券资产管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 50.0}],"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '浙江浙商证券资产管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '年度报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",True,[{'比例': 50.0}],True
523,20191121日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20191121'
ORDER BY [成交金额(元)] DESC
LIMIT 3;","[{'股票代码': '601318'}, {'股票代码': '000651'}, {'股票代码': '600519'}]","SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20191121'
ORDER BY [成交金额(元)] DESC
LIMIT 3;",True,"[{'股票代码': '601318'}, {'股票代码': '000651'}, {'股票代码': '600519'}]",True
525,"我想了解国寿安保灵活优选混合基金,在2021年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '国寿安保灵活优选混合'
        AND 持仓日期 = '20210331'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 6
        LIMIT 1
    )
    AND 交易日 BETWEEN '20210101' AND '20210331'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': 15.23}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '国寿安保灵活优选混合'
        AND 持仓日期 = '20210331'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 6
        LIMIT 1
    )
    AND 交易日 BETWEEN '20210101' AND '20210331'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",True,[{'涨跌幅': 15.23}],True
528,请问股票代码为300300的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '300300'
    AND 交易日 LIKE '2019%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 166}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '300300'
    AND 交易日 LIKE '2019%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",True,[{'天数': 166}],True
529,20190212日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,"SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190212'
ORDER BY [成交金额(元)] DESC
LIMIT 3;","[{'股票代码': '000725'}, {'股票代码': '000858'}, {'股票代码': '600519'}]","SELECT 股票代码
FROM A股票日行情表
WHERE 交易日 = '20190212'
ORDER BY [成交金额(元)] DESC
LIMIT 3;",True,"[{'股票代码': '000725'}, {'股票代码': '000858'}, {'股票代码': '600519'}]",True
530,帮我查询在2020年12月31日，代码为007840的基金前20大重仓股票中属于中信二级半导体行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20201231'
AND t1.基金代码 = '007840'
AND t1.第N大重仓股 <= 20
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '半导体'
LIMIT 1;",[{'平均市值': 92440.0}],"SELECT ROUND(AVG(市值), 3) AS 平均市值
FROM 基金股票持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.持仓日期 = '20201231'
AND t1.基金代码 = '007840'
AND t1.第N大重仓股 <= 20
AND t2.行业划分标准 = '中信行业分类'
AND t2.二级行业名称 = '半导体'
LIMIT 1;",True,[{'平均市值': 92440.0}],True
532,请帮我查询下股票代码为600595的股票在2019年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '600595'
AND 交易日 LIKE '2019%'
LIMIT 1;",[{'最高日收盘价': 3.31}],"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '600595'
AND 交易日 LIKE '2019%'
LIMIT 1;",True,[{'最高日收盘价': 3.31}],True
534,博时基金管理有限公司2020年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '博时基金管理有限公司'
AND 成立日期 LIKE '2020%'
LIMIT 1;",[{'数量': 82}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '博时基金管理有限公司'
AND 成立日期 LIKE '2020%'
LIMIT 1;",True,[{'数量': 82}],True
535,我想知道在2021年，格林基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '格林基金管理有限公司'
    )
    AND 定期报告所属年度 = 2021
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",[{'数量': 5}],"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '格林基金管理有限公司'
    )
    AND 定期报告所属年度 = 2021
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",True,[{'数量': 5}],True
536,我想知道兴银研究精选股票A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '兴银研究精选股票A'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20210101' AND '20211231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",[{'数量': 5}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 IN (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '兴银研究精选股票A'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '年报(含半年报)'
        AND 第N大重仓股 <= 10
    )
    AND 交易日 BETWEEN '20210101' AND '20211231'
),
t2 AS (
    SELECT 股票代码, [昨收盘(元)] AS 期初价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MIN(交易日)
),
t3 AS (
    SELECT 股票代码, [收盘价(元)] AS 期末价
    FROM t1
    GROUP BY 股票代码
    HAVING 交易日 = MAX(交易日)
)
SELECT COUNT(*) AS 数量
FROM t2 JOIN t3
ON t2.股票代码 = t3.股票代码
WHERE t3.期末价 > t2.期初价
LIMIT 1;",True,[{'数量': 5}],True
537,20200326日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20200326'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20200326'
    LIMIT 1
)
AND t1.[今开盘(元)] > t2.[最高价(元)]
LIMIT 1;",[{'数量': 128}],"SELECT COUNT(*) AS 数量
FROM A股票日行情表 t1 JOIN A股票日行情表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = '20200326'
AND t2.交易日 = (
    SELECT MAX(交易日)
    FROM A股票日行情表
    WHERE 交易日 < '20200326'
    LIMIT 1
)
AND t1.[今开盘(元)] > t2.[最高价(元)]
LIMIT 1;",True,[{'数量': 128}],True
538,我想知道在20210630的季报里，招商MSCI中国A股国际通ETF联接C投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20210630'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '招商MSCI中国A股国际通ETF联接C';","[{'一级行业名称': '汽车'}, {'一级行业名称': '化工'}, {'一级行业名称': '家用电器'}, {'一级行业名称': '交通运输'}]","SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20210630'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '招商MSCI中国A股国际通ETF联接C';",True,"[{'一级行业名称': '汽车'}, {'一级行业名称': '化工'}, {'一级行业名称': '家用电器'}, {'一级行业名称': '交通运输'}]",True
539,请帮我计算，在20200617，中信行业分类划分的一级行业为商贸零售行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200617'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '商贸零售'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[{'股票代码': '600824', '涨跌幅': 10.07}]","SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200617'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '商贸零售'
ORDER BY 涨跌幅 DESC
LIMIT 1;",True,"[{'股票代码': '600824', '涨跌幅': 10.07}]",True
540,"请帮我查询在2020年,万家基金管理有限公司成立哪种类型的基金个数最多?","SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2020%'
AND 管理人 = '万家基金管理有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'基金类型': '混合型'}],"SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2020%'
AND 管理人 = '万家基金管理有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",True,[{'基金类型': '混合型'}],True
542,我想知道股票300321在申万行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '300321'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '塑料'}],"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '300321'
AND 行业划分标准 = '申万行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",True,[{'二级行业名称': '塑料'}],True
546,我想知道红土创新稳进混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '红土创新稳进混合C'
AND t1.持仓日期 = '20201231'
AND t1.报告类型 = '年报(含半年报)'
AND t2.行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",[{'一级行业名称': '电力及公用事业'}],"SELECT 一级行业名称
FROM 基金可转债持仓明细 t1 JOIN A股公司行业划分表 t2
ON t1.对应股票代码 = t2.股票代码
AND t1.持仓日期 = t2.交易日期
AND t1.基金简称 = '红土创新稳进混合C'
AND t1.持仓日期 = '20201231'
AND t1.报告类型 = '年报(含半年报)'
AND t2.行业划分标准 = '中信行业分类'
GROUP BY 一级行业名称
ORDER BY SUM(市值) DESC
LIMIT 1;",True,[{'一级行业名称': '电力及公用事业'}],True
547,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2019
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '股票型'
LIMIT 1;",[{'数量': 225}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2019
    AND 报告类型 = '年度报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '股票型'
LIMIT 1;",True,[{'数量': 225}],True
548,鑫元悦利定期开放债券基金在20191231的季报里，前三大持仓占比的债券名称是什么?,"SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '鑫元悦利定期开放债券'
AND 持仓日期 = '20191231'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 3;","[{'债券名称': '19国开08'}, {'债券名称': '19国开03'}, {'债券名称': '19国开10'}]","SELECT 债券名称
FROM 基金债券持仓明细
WHERE 基金简称 = '鑫元悦利定期开放债券'
AND 持仓日期 = '20191231'
AND 报告类型 = '季报'
ORDER BY 第N大重仓股 ASC
LIMIT 3;",True,"[{'债券名称': '19国开08'}, {'债券名称': '19国开03'}, {'债券名称': '19国开10'}]",True
549,帮我查一下华商计算机行业量化股票A基金在20211213的资产净值和单位净值是多少?,"SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '华商计算机行业量化股票A'
    LIMIT 1
)
AND 交易日期 = '20211213'
LIMIT 1;","[{'资产净值': 223466099.94, '单位净值': 1.3141}]","SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '华商计算机行业量化股票A'
    LIMIT 1
)
AND 交易日期 = '20211213'
LIMIT 1;",True,"[{'资产净值': 223466099.94, '单位净值': 1.3141}]",True
551,"请帮我查询下在2019年, 国联基金管理有限公司管理的债券型基金中，持有过国债现货的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '国联基金管理有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '国债现货'
LIMIT 1;",[{'数量': 4}],"SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '国联基金管理有限公司'
)
AND 持仓日期 LIKE '2019%'
AND 债券类型 = '国债现货'
LIMIT 1;",True,[{'数量': 4}],True
552,帮我查一下在2020年，代码为603056的A股股票今开盘高于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '603056'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",[{'天数': 120}],"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '603056'
AND 交易日 LIKE '2020%'
AND [今开盘(元)] > [昨收盘(元)]
LIMIT 1;",True,[{'天数': 120}],True
555,"我想了解汇安信利债券A基金,在2020年二季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '汇安信利债券A'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 3
        LIMIT 1
    )
    AND 交易日 BETWEEN '20200401' AND '20200630'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': 4.25}],"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '汇安信利债券A'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 3
        LIMIT 1
    )
    AND 交易日 BETWEEN '20200401' AND '20200630'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",True,[{'涨跌幅': 4.25}],True
557,帮我查一下兴业优势产业混合A基金在20211013的资产净值和单位净值是多少?,"SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '兴业优势产业混合A'
    LIMIT 1
)
AND 交易日期 = '20211013'
LIMIT 1;","[{'资产净值': 104342645.46, '单位净值': 1.0736}]","SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '兴业优势产业混合A'
    LIMIT 1
)
AND 交易日期 = '20211013'
LIMIT 1;",True,"[{'资产净值': 104342645.46, '单位净值': 1.0736}]",True
561,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,非银金融一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '非银金融'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",[{'股票代码': '002961'}],"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2019%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '非银金融'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",True,[{'股票代码': '002961'}],True
562,在2019年12月季报中，持有坚朗五金这一股票且市值占基金资产净值比不小于5%的有几只基金？,"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '季报'
AND 股票名称 = '坚朗五金'
AND 市值占基金资产净值比 * 100 >= 5
LIMIT 1;",[{'数量': 1}],"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20191231'
AND 报告类型 = '季报'
AND 股票名称 = '坚朗五金'
AND 市值占基金资产净值比 * 100 >= 5
LIMIT 1;",True,[{'数量': 1}],True
563,嘉实基金管理有限公司管理的货币型产品的数量有多少?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉实基金管理有限公司'
AND 基金类型 = '货币型'
LIMIT 1;",[{'数量': 1}],"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '嘉实基金管理有限公司'
AND 基金类型 = '货币型'
LIMIT 1;",True,[{'数量': 1}],True
564,请查询在2021年度，600423股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2021%'
AND 股票代码 = '600423'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 9}],"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2021%'
AND 股票代码 = '600423'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",True,[{'天数': 9}],True
568,20201231日，机械设备一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20201231'
AND 一级行业名称 = '机械设备'
LIMIT 1;",[{'数量': 531}],"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20201231'
AND 一级行业名称 = '机械设备'
LIMIT 1;",True,[{'数量': 531}],True
569,请帮我查询在截止2020-06-30的报告期间，基金总份额降低的基金数量是多少？,"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06-30%'
AND 报告期期末基金总份额 < 报告期期初基金总份额
LIMIT 1;",[{'数量': 1438}],"SELECT COUNT(*) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06-30%'
AND 报告期期末基金总份额 < 报告期期初基金总份额
LIMIT 1;",True,[{'数量': 1438}],True
570,我想知道在20201231的季报里，长盛竞争优势股票C投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20201231'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '长盛竞争优势股票C';","[{'一级行业名称': '食品饮料'}, {'一级行业名称': '医药生物'}, {'一级行业名称': '休闲服务'}]","SELECT DISTINCT(一级行业名称)
FROM A股公司行业划分表 t1 JOIN 基金股票持仓明细 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日期 = t2.持仓日期
AND t1.交易日期 = '20201231'
AND t1.行业划分标准 = '申万行业分类'
AND t2.报告类型 = '季报'
AND t2.基金简称 = '长盛竞争优势股票C';",True,"[{'一级行业名称': '食品饮料'}, {'一级行业名称': '医药生物'}, {'一级行业名称': '休闲服务'}]",True
572,2019年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-06-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净赎回), 2) AS 净赎回份额
FROM t1
WHERE 净赎回 > 0
LIMIT 1;","[{'数量': 482, '净赎回份额': 121459761741.83}]","WITH t1 AS (
    SELECT *, 报告期期初基金总份额 - 报告期期末基金总份额 AS 净赎回
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2019-06-30%'
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 净赎回 > 0
LIMIT 1;",False,[{'数量': 482}],False
