问题id,问题,答案,分类
500,根据大连派思燃气系统股份有限公司招股意向书，目前，世界已探明的天然气储量主要集中在什么地区？天然气消费以哪些地区为主？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
501,截至2009年底，中海达、南方测绘合计占有国产品牌销售额的多大比例？,回答：“该公司的招股说明书”,Text
502,联化科技股份有限公司在2007年第一次临时股东大会上审议并通过了哪些募集资金项目？,该问题的描述中并没有明确指出是在招股说明书中还是在基金股票数据库中寻找答案，因此我无法回答这个问题。,Text
503,帮我查一下广发瑞安精选股票A基金在20211222的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
504,我想知道工银瑞信双盈债券C基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
505,"请帮我查询下，在20190419，申万行业分类里一级行业为轻工制造行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
506,景顺长城中短债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
507,我想知道股票600373在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
508,"请帮我查询下在2020年, 前海开源基金管理有限公司管理的债券型基金中，持有过非公开发行公司债的基金有多少只？",这个问题应该属于基金股票数据库。,SQL
509,广州中海达卫星导航技术股份有限公司整体变更前后，股本增加了多少？,回答：“该公司的招股说明书”,Text
510,"请查询：2021年12月年报(含半年报),持有20汇金小微债01且是前10大重仓股的基金有几个？",回答：“基金股票数据库”,SQL
511,2021年年度报告里，光大保德信基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,问题：“该公司的招股说明书”,Text
512,在2021年12月年报(含半年报)中，朱雀企业优选股票A基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,回答：“基金股票数据库”,SQL
513,2007年、2008年、2009年，南京中电联环保股份有限公司存货周转率分别为多少次？,该问题的描述中没有给出任何关于该基金或股票的信息，因此无法确定它是在该公司的招股说明书中还是在基金股票数据库里。,Text
514,请帮我查询出20210120日，综合一级行业涨幅超过5%（不包含）的股票数量。,该问题需要查询股票行情数据，因此应该回答“基金股票数据库”。,SQL
515,根据招股意见书，公司何时整体变更为华瑞电器股份有限公司？,回答：“该公司的招股说明书”,Text
516,根据浙江开尔新材料股份有限公司招股意向书，截至2010年末，合肥翰林总资产为多少？,回答：“该公司的招股说明书”,Text
517,持有烟台杰瑞石油服务集团股份有限公司5%以上股份的股东有是谁？本次公开发行前，他们持有的股份分别占公司总股本的多少比例？,"该问题的分类应该是 ""该公司的招股说明书""。因为这类关于公司基本信息的问题通常可以在招股说明书中找到。",Text
518,在2020年1月30日，使用中信行业分类标准，股票代码600185是属于哪个一级行业的?,回答：“基金股票数据库”,SQL
519,截至2018年末 ，按照国内高速铁路控制系统集成项目累计中标里程统计，中国铁路通信信号股份有限公司的中标里程覆盖率为多少？,该问题应该属于“该公司的招股说明书”类别。,Text
520,截至2009年12月31日，杭州中恒电气股份有限公司的净资产是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
521,请查询在20200731日期，申万行业分类下家用电器一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,回答：“基金股票数据库”,SQL
522,在2020年的年度报告里，浙江浙商证券资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,这个问题应该属于基金股票数据库。,SQL
523,20191121日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
524,旷达汽车织物集团何时设立股份有限公司，注册资本是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
525,"我想了解国寿安保灵活优选混合基金,在2021年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
526,新疆浩源天然气股份有限公司实际控制人直系亲属控股的企业有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
527,北京天宜上佳高新材料股份有限公司2017年度的营业收入和净利润分别为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
528,请问股票代码为300300的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
529,20190212日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
530,帮我查询在2020年12月31日，代码为007840的基金前20大重仓股票中属于中信二级半导体行业的平均市值是多少？小数点后保留不超过3位。,基金股票数据库,SQL
531,武汉兴图新科电子股份有限公司法定代表人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
532,请帮我查询下股票代码为600595的股票在2019年内最高日收盘价是多少？,回答：“基金股票数据库”,SQL
533,在营销模式方面，云南沃森生物技术股份有限公司如何提高疫苗产品的品牌影响力？,该问题属于该公司的招股说明书。,Text
534,博时基金管理有限公司2020年成立了多少基金?,问题：“博时基金管理有限公司2020年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
535,我想知道在2021年，格林基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,这个问题应该属于基金股票数据库。,SQL
536,我想知道兴银研究精选股票A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
537,20200326日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,这个问题的答案应该在基金股票数据库中。,SQL
538,我想知道在20210630的季报里，招商MSCI中国A股国际通ETF联接C投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
539,请帮我计算，在20200617，中信行业分类划分的一级行业为商贸零售行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
540,"请帮我查询在2020年,万家基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
541,烟台杰瑞石油服务集团股份有限公司面临的市场风险有哪些？,该问题属于招股说明书中可能包含的信息。,Text
542,我想知道股票300321在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
543,武汉兴图新科电子股份有限公司注册资本是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
544,华瑞电器股份有限公司成立以来的是否存在重大资产重组？如果存在，该重组是什么？,该问题属于招股说明书中提到的信息。,Text
545,5、确成硅化学股份有限公司的子公司确成国际主营业务是什么？,该问题的类别为“该公司的招股说明书”。,Text
546,我想知道红土创新稳进混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
547,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。,"问题：“请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。”
回答：“该公司的招股说明书”",Text
548,鑫元悦利定期开放债券基金在20191231的季报里，前三大持仓占比的债券名称是什么?,回答：“基金股票数据库”,SQL
549,帮我查一下华商计算机行业量化股票A基金在20211213的资产净值和单位净值是多少?,基金股票数据库,SQL
550,内蒙古君正能源化工股份有限公司控股股东、实际控制人控制的其他企业有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
551,"请帮我查询下在2019年, 国联基金管理有限公司管理的债券型基金中，持有过国债现货的基金有多少只？",问题：“基金股票数据库”,SQL
552,帮我查一下在2020年，代码为603056的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
553,中国铁路通信信号股份有限公司本次发行初始战略配售发行数量为多少股？占发行数量的多大比例？,该问题的答案可以在该公司的招股说明书中找到。,Text
554,华达汽车科技股份有限公司近年开发的代表性新产品及新技术有哪些？,该问题的描述类别最适合出现在该公司的招股说明书中。,Text
555,"我想了解汇安信利债券A基金,在2020年二季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",回答：“基金股票数据库”,SQL
556,海南双成药业股份有限公司的前身是什么？成立于何时？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
557,帮我查一下兴业优势产业混合A基金在20211013的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
558,根据江苏爱康太阳能科技股份有限公司招股意向书，从太阳能电池企业布局供给结构来看，大部分企业最主要分布在什么地区？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
559,东莞勤上光电股份有限公司目前主要竞争对手有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
560,广州中海达卫星导航技术股份有限公司两家全资子公司是？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
561,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,非银金融一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
562,在2019年12月季报中，持有坚朗五金这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
563,嘉实基金管理有限公司管理的货币型产品的数量有多少?,问题：“基金股票数据库”,SQL
564,请查询在2021年度，600423股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,这个问题应该属于基金股票数据库。,SQL
565,报告期内，广东银禧科技股份有限公司国外销售收入占当期主营业务收入的比重分别是多少？,该问题的答案可能包含在基金的股票数据库中。,Text
566,海南双成药业股份有限公司制定了哪些环保和安全管理规程？,该问题的描述不够清晰，无法确定它是在该公司的招股说明书中还是在基金股票数据库里。请提供更多的信息或者更清晰的问题描述以便我能更好地回答您的问题。,Text
567,在环保资质方面，森赫电梯股份有限公司取得了哪些排污许可证，有效期是什么时候？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
568,20201231日，机械设备一级行业有多少只A股股票？,问题：“该公司的招股说明书”,Text
569,请帮我查询在截止2020-06-30的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
570,我想知道在20201231的季报里，长盛竞争优势股票C投资的股票分别是哪些申万一级行业？,回答：“基金股票数据库”,SQL
571,常熟风范电力设备股份有限公司采取了哪些措施来降低实际控制人风险？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法将其分类为在这两个地方中的任何一个。,Text
572,2019年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,问题：“请帮忙查询下股票代码为XXXXXX的股票在2019年内最高日收盘价是多少?”,SQL
573,请帮我计算，代码为300346的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为300346的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
574,我想知道中信保诚安鑫回报债券A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,回答：“基金股票数据库”,SQL
575,20200225日，一级行业为房地产的股票的成交金额合计是多少？取整。,回答：“基金股票数据库”,SQL
576,在2021年的中期报告里，方正富邦基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"问题：“在2021年的中期报告里，方正富邦基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。”
回答：“基金股票数据库”",SQL
577,报告期内，山东海看网络科技有限公司移动媒体平台服务业务收入呈现怎样的趋势？各期为多少？,该问题应该属于招股说明书中提供的信息。,Text
578,我想知道嘉实动力先锋混合A在2021年Q3的季报中，该基金的第4大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
579,进入常熟风范电力设备股份有限公司所属行业的主要障碍有哪些？,该问题的描述类别最适合出现在该公司的招股说明书中。,Text
580,请帮我查询在截止2021-09-30的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
581,股票600386在20210924日期中的收盘价是多少?（小数点保留3位）,回答：“基金股票数据库”,SQL
582,深圳信立泰药业股份有限公司药品的生产工艺涉会产生哪些污染物？,该问题的分类应该是“该公司的招股说明书”。,Text
583,20210519日，请给出融通通慧混合A/B基金的管理人和单位净值。单位净值保留两位小数。,回答：“基金股票数据库”,SQL
584,20200427港股下跌的股票家数有多少家?,基金股票数据库,SQL
585,"帮我算一下在20210715,代码为01071的港股日价格振幅是多少，小数点后保留不超过3位。",回答：“基金股票数据库”,SQL
586,2015年末珠海健帆生物科技股份有限公司的货币资金相比2014年末增加了多少？这个增加主要是由于什么原因？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，该问题似乎并不在基金股票数据库中，而是在该公司的招股说明书中可能包含答案。",Text
587,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,建筑材料一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
588,股票002501在20210802日期中的收盘价是多少?（小数点保留3位）,问题：“股票002501在20210802日期中的收盘价是多少?（小数点保留3位）”属于基金股票数据库。,SQL
589,请列出华宝基金管理有限公司在2020年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数。,答案：基金股票数据库,SQL
590,请帮我计算，代码为600552的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为600552的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
591,20200819日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,这个问题的答案应该在基金股票数据库中。,SQL
592,报告期内，深圳市超频三科技股份有限公司直接材料成本占营业成本比例分别为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
593,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，申万行业分类行业划分标准,房地产一级行业中, 代码为多少的股票的日均收益率最高？",问题：“基金股票数据库”,SQL
594,请帮我计算，代码为600884的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"问题：“请帮我计算，代码为600884的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。？”
回答：“基金股票数据库”",SQL
595,湖南南岭民用爆破器材股份有限公司监事有谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
596,深圳市铁汉生态环境股份有限公司公司的人才队伍有副研究员、高级工程师各几人？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法确定该问题的答案类别。,Text
597,请帮我查询在截止2020-03-31的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
598,我想知道长信国防军工量化灵活配置混合C在2021年Q1的季报中，该基金的第5大重仓股的代码是什么?,回答：“基金股票数据库”,SQL
599,20211126日，一级行业为休闲服务的股票的成交金额合计是多少？取整。,该问题需要查询基金股票数据库中的数据。,SQL
600,根据海南双成药业股份有限公司招股意向书，医药行业的主要销售渠道是怎样的？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
601,江苏爱康太阳能科技股份有限公司实际控制人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据江苏爱康太阳能科技股份有限公司的招股书，可以找到关于公司实际控制人的信息。",Text
602,帮我查一下在2020年，代码为002993的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
603,我想知道在2020年，中航基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,这个问题应该属于基金股票数据库。,SQL
604,我想知道华商电子行业量化股票基金，在2019年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
605,请问股票代码为603359的股票在2020年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
606,请帮我计算，在20190213，中信行业分类划分的一级行业为有色金属行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
607,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,"问题：“请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。”
回答：“该公司的招股说明书”",Text
608,我想知道国泰致远优势混合基金，在2020年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
609,国科微电子计划在哪里建立一个研发产业基地？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
610,2016年-2018年，北京天宜上佳高新材料股份有限公司参与并中标的铁总联采数量分别为多少？,该问题属于招股说明书中提到的信息。,Text
611,在与索特传动的产品争议中，浙江双飞无油轴承股份有限公司承担多少的维修发生额？,该问题的描述中并没有提到任何具体的公司名称或产品争议的详细信息，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
612,"在20210630的年报(含半年报)中，金信民达纯债债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
613,2021年年度报告里，中海基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,问题：“该公司的招股说明书”,Text
614,"请帮我查询在2019年,睿远基金管理有限公司成立哪种类型的基金个数最多?",问题：“基金股票数据库”,SQL
615,2009年、2008年、2007年兰州海默科技股份有限公司的综合毛利率分别是多少？,该问题的答案应该在该公司 的招股说明书中。,Text
616,我想知道股票300138在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
617,青海互助青稞酒股份有限公司2010年经备案的青稞收购量及实际采购量是多少？,该问题的描述中没有给出任何关于其在招股说明书中或基金股票数据库中的线索，因此我无法将其分类为上述两类之一。,Text
618,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,通信一级行业中, 代码为多少的股票的日均收益率最高？",回答：“基金股票数据库”,SQL
619,请帮我查询在截止2019-03-31的报告期间，基金总份额降低的基金数量是多少？,问题：“基金股票数据库”,SQL
620,帮我查一下在2021年，代码为600546的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
621,我想知道国泰CES半导体芯片行业ETF联接A基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
622,我想知道天风(上海)证券资产管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,回答：“基金股票数据库”,SQL
623,20200415港股下跌的股票家数有多少家?,问题：“基金股票数据库”,SQL
624,青海互助青稞酒股份有限公司2010年度营业收入与净利润是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据青海互助青稞酒股份有限公司的招股说明书中所披露的信息，可以找到该公司2010年度的营业收入与净利润。",Text
625,"在20201231的年报(含半年报)中，嘉合磐泰短债债券C基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
626,请问在农林牧渔行业，20191104行业的A股公司有多少?,这个问题的答案应该在基金股票数据库中。,SQL
627,宁波立立电子股份有限公司主要产品是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
628,我想知道股票300584在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
629,根据深圳信立泰药业股份有限公司招股意向书，进入医药行业的壁垒较高，有哪几个方面？,该问题的描述类别最适合出现在招股说明书中。,Text
630,截至2007年12月31日，宁波立立电子股份有限公司存货账面价值为多少？占总资产的多大比例？,"该问题的 answer 应该是 ""该公司的招股说明书""。因为这类关于公司财务信息的问题通常可以在招股说明书中找到。",Text
631,请查询在20200923日期，中信行业分类下家电一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,回答：“基金股票数据库”,SQL
632,"假定股票'日波动值'计算公式为：'日波动值' = 日最高价-日最低价。请帮我查询下在2021年，中信行业分类行业划分标准,电力设备及新能源一级行业中，股票日均波动值最小的股票对应的股票代码是？",这个问题应该属于“基金股票数据库”类别。,SQL
633,兰州海默科技股份有限公司的主要产品有哪些？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
634,嘉实基金管理有限公司管理的股票型产品的数量有多少?,问题：“基金股票数据库”,SQL
635,我想知道2019年的年度报告中，机构投资者持有的份额占比超过66%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,回答：“基金股票数据库”,SQL
636,请问在有色金属行业，20191119行业的A股公司有多少?,这个问题的答案应该在基金股票数据库中。,SQL
637,请帮我查询在截止2019-09-30的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
638,请问2020年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年四季度的净申购情况，包括净申购数量和净申购金额，并将结果四舍五入保留两位小数。”
回答：“基金股票数据库”",SQL
639,湖南长远锂科股份有限公司报告期内何时发生了重大资产重组？该重大资产重组是什么？,该问题属于招股说明书中提到的信息。,Text
640,我想知道德邦基金管理有限公司在2019年成立了多少只管理费率小于0.8%的基金？,问题：“基金股票数据库”,SQL
641,在销售端，上海真兰仪表科技股份有限公司与中国燃气合作设立的公司是什么？该公司的主要客户是什么？,该问题的答案可能包含在基金的股票数据库中。,Text
642,我想知道兴全优选进取三个月持有期混合(FOF)A基金在20210630的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,回答：“基金股票数据库”,SQL
643,根据募集资金项目的可行性研究报告，项目全部达产后，杭州中恒电气股份有限公司可增加多少销售收入？新增利润总额为多少？,该问题的答案可能包含在杭州中恒电气股份有限公司的招股说明书中。因此，答案是“该公司的招股说明书”。,Text
644,请帮我查询在截止2021-12-31的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
645,20200820日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,这个问题的答案应该在基金股票数据库中。,SQL
646,本次发行前，汉嘉设计集团股份有限公司实际控制人是谁？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
647,请列出博时基金管理有限公司在2019年成立并且托管人为中国工商银行股份有限公司的所有基金的基金托管费率的平均数。,回答：“基金股票数据库”,SQL
648,请问在家用电器行业，20201007行业的A股公司有多少?,该问题需要在基金股票数据库中查找答案。,SQL
649,报告期内，深圳市超频三科技股份有限公司筹资活动产生的现金流量净额分别为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，只有在该公司的招股说明书中才能找到关于该公司报告期内筹资活动产生的现金流量净额的信息。",Text
650,我想知道易方达全球医药行业混合(QDII)基金，在2020年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,回答：“基金股票数据库”,SQL
651,报告期各期末，山东海看网络科技有限公司及其控股子公司在册员工总数为多少人？,"该问题的答案可能包含在基金的招募说明书或股票的公司公告中。因此，答案应该在""基金股票数据库""或""该公司的招股说明书""中。",Text
652,"请帮我查询下，在20190114，申万行业分类里一级行业为非银金融行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",回答：“基金股票数据库”,SQL
653,2017年末，汉嘉设计集团股份有限公司的应收账款净额是多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据给出的例子，问题如果涉及到公司在招股说明书中披露的信息，则回答为 ""该公司的招股说明书""。而问题中所提到的数据似乎并不在招股说明书中，因此该问题应该被归为另一类别。",Text
654,20211206日，一级行业为公用事业的股票的成交量合计是多少？取整。,该问题需要查询基金股票数据库中的数据。,SQL
655,湖南南岭民用爆破器材股份有限公司技术中心下设哪些部门？,该问题的描述中没有提到任何关于基金或者股票的信息，因此答案应该不在基金的股票数据库中，而是在该公司的招股说明书中。,Text
656,根据《国民经济行业分类》，汉嘉设计集团股份有限公司主营业务所属行业是什么？分类代码是什么？,该问题的答案应该在招股说明书中。,Text
657,在2021年12月季报中，持有健之佳这一股票且市值占基金资产净值比不小于5%的有几只基金？,回答：“基金股票数据库”,SQL
658,请帮我查询下，在2019年12月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,基金股票数据库,SQL
659,2019年中期报告里，国融基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,问题：“该公司的招股说明书”,Text
660,华瑞股份第二次股权转让在哪一年发生？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
661,我想知道兴银基金管理有限责任公司在2020年成立了多少只管理费率小于0.8%的基金？,回答：“基金股票数据库”,SQL
662,联化科技股份有限公司设立以来的业务发展过程可以分为哪几个阶段？,该问题的描述类别最适合出现在该公司的招股说明书中。,Text
663,请帮我计算，在20200911，中信行业分类划分的一级行业为纺织服装行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,这个问题需要在基金股票数据库中查找答案。,SQL
664,2015年末珠海健帆生物科技股份有限公司资产总额比2014年末增加了多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的例子，问题如果涉及到招股说明书中提到的具体数据或信息，则回答为""该公司的招股说明书""。",Text
665,请问2020年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"问题：“请帮忙查询下股票代码为XXXXXX的股票在2020年三季度的净申购情况，包括净申购的家数和净申购份额，并将结果四舍五入保留两位小数。”
回答：“基金股票数据库”",SQL
666,华达汽车科技股份有限公司的主要无形资产是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
667,最近三年及一期，江苏旷达汽车织物集团股份有限公司汽车内饰面料产品的毛利率分别为多少？呈现怎样的趋势？,"该问题的 answer 应该是 ""该公司的招股说明书""。因为江苏旷达汽车织物集团股份有限公司的汽车内饰面料产品的具体信息在其招股说明书中会有详细的描述。",Text
668,根据江苏爱康太阳能科技股份有限公司招股意向书，2009年我国光伏新增装机容量占全球市场需求份额的多少？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
669,"在20191231的年报(含半年报)中，广发景宁纯债债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",回答：“基金股票数据库”,SQL
670,20210427港股下跌的股票家数有多少家?,问题：“基金股票数据库”,SQL
671,请帮我查询下，在2021年06月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,回答：“基金股票数据库”,SQL
672,青海互助青稞酒股份有限公司材料采购物资主要有哪些？,该问题的描述不清，无法判断答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
