问题,SQL,SQL结果,答案
我想知道惠升基金管理有限责任公司在2021年成立了多少只管理费率大于0.8%的基金？,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '惠升基金管理有限责任公司'
AND 成立日期 LIKE '2021%'
AND 管理费率 > '0.8%'
LIMIT 1;",[{'数量': 0}],惠升基金管理有限责任公司在2021年成立了0只管理费率大于0.8%的基金。
信达澳亚基金管理有限公司2021年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '信达澳亚基金管理有限公司'
AND 成立日期 LIKE '2021%'
LIMIT 1;",[{'数量': 0}],信达澳亚基金管理有限公司2021年成立了0只基金。
我想知道海富通基金管理有限公司在2020年成立了多少只管理费率大于0.2%的基金？,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '海富通基金管理有限公司'
AND 成立日期 LIKE '2020%'
AND 管理费率 > '0.2%'
LIMIT 1;",[{'数量': 25}],海富通基金管理有限公司在2020年成立了25只管理费率大于0.2%的基金。
我想知道鹏华安惠混合C在2021年Q1的季报中，该基金的第7大重仓股的代码是什么?,"SELECT 股票代码
FROM 基金股票持仓明细
WHERE 基金简称 = '鹏华安惠混合C'
AND 持仓日期 = '20210331'
AND 报告类型 = '季报'
AND 第N大重仓股 = 7
LIMIT 1;",[{'股票代码': '003012'}],鹏华安惠混合C在2021年Q1的季报中，该基金的第7大重仓股的代码是003012。
我想知道股票603068在中信行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '603068'
AND 行业划分标准 = '中信行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '半导体'}],股票603068在中信行业分类下的二级行业是半导体。
20210601日，请给出新疆前海联合泳隽灵活配置混合C基金的管理人和单位净值。单位净值保留两位小数。,"SELECT t1.管理人, ROUND(t2.单位净值, 2) AS 单位净值
FROM 基金基本信息 t1 JOIN 基金日行情表 t2
ON t1.基金代码 = t2.基金代码
AND t1.基金简称 = '新疆前海联合泳隽灵活配置混合C'
AND t2.交易日期 = '20210601'
LIMIT 1;","[{'管理人': '新疆前海联合基金管理有限公司', '单位净值': 1.9}]",20210601日，新疆前海联合泳隽灵活配置混合C基金的管理人是新疆前海联合基金管理有限公司，单位净值是1.90元。
请问2021年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"WITH t1 AS (
    SELECT *, 报告期期末基金总份额 - 报告期期初基金总份额 AS 净申购
    FROM 基金规模变动表
    WHERE 截止日期 LIKE '2021-06-30%'
)
SELECT COUNT(*) AS 数量, ROUND(SUM(净申购), 2) AS 净申购份额
FROM t1
WHERE 净申购 > 0
LIMIT 1;","[{'数量': 1431, '净申购份额': 298898333820.34}]",2021年二季度有1431家基金是净申购，它们的净申购份额加起来是298898333820.34份。
"假定股票'日波动值'计算公式为：'日波动值' = 日最高价-日最低价。请帮我查询下在2020年，申万行业分类行业划分标准,建筑材料一级行业中，股票日均波动值最小的股票对应的股票代码是？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2020%'
AND t2.行业划分标准 = '申万行业分类'
AND t2.一级行业名称 = '建筑材料'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[最高价(元)] - t1.[最低价(元)]) ASC
LIMIT 1;",[{'股票代码': '833580'}],"在2020年，申万行业分类行业划分标准,建筑材料一级行业中，股票日均波动值最小的股票对应的股票代码是833580。"
请帮我计算，在20211230，中信行业分类划分的一级行业为纺织服装行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT t1.股票代码, ROUND((t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100, 2) AS 涨跌幅
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20211230'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '纺织服装'
ORDER BY 涨跌幅 DESC
LIMIT 1;","[{'股票代码': '002494', '涨跌幅': 9.95}]",在20211230，中信行业分类划分的一级行业为纺织服装行业中，涨跌幅最大股票的股票代码是002494，涨跌幅是9.95%。
请帮我查询出20200202日，化工一级行业涨幅超过3%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200202'
AND t2.一级行业名称 = '化工'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 3
LIMIT 1;",[{'数量': 0}],20200202日，化工一级行业涨幅超过3%（不包含）的股票数量是0只。
在2020年6月季报中，持有ST金圆这一股票且市值占基金资产净值比不小于6%的有几只基金？,"SELECT COUNT(*) AS 数量
FROM 基金股票持仓明细
WHERE 持仓日期 = '20200630'
AND 报告类型 = '季报'
AND 股票名称 = 'ST金圆'
AND 市值占基金资产净值比 * 100 >= 6
LIMIT 1;",[{'数量': 0}],在2020年6月季报中，持有ST金圆这一股票且市值占基金资产净值比不小于6%的有0只基金。
我想知道国联安基金管理有限公司在2019年成立了多少只管理费率小于0.5%的基金？,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '国联安基金管理有限公司'
AND 成立日期 LIKE '2019%'
AND 管理费率 < '0.5%'
LIMIT 1;",[{'数量': 15}],国联安基金管理有限公司在2019年成立了15只管理费率小于0.5%的基金。
我想知道在2019年，光大保德信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额大于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '光大保德信基金管理有限公司'
    )
    AND 定期报告所属年度 = 2019
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 > 报告期期末基金总份额
LIMIT 1;",[{'数量': 1}],在2019年，光大保德信基金管理有限公司已发行的基金中，有1只基金报告期期初基金总份额大于报告期期末基金总份额。
"请帮我查询下在2021年, 华泰证券(上海)资产管理有限公司管理的债券型基金中，持有过地方政府债券的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '华泰证券(上海)资产管理有限公司'
)
AND 持仓日期 LIKE '2021%'
AND 债券类型 = '地方政府债券'
LIMIT 1;",[{'数量': 0}],"在2021年, 华泰证券(上海)资产管理有限公司管理的债券型基金中，持有过地方政府债券的基金有0只。"
"我想了解融通领先成长混合(LOF)C基金,在2020年二季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '融通领先成长混合(LOF)C'
        AND 持仓日期 = '20200630'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 3
        LIMIT 1
    )
    AND 交易日 BETWEEN '20200401' AND '20200630'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': -20.57}],"融通领先成长混合(LOF)C基金,在2020年二季度的季报第3大重股当个季度的涨跌幅是-20.57%。"
我想知道股票000778在中信行业分类下的二级行业是什么？用最新的数据。,"SELECT 二级行业名称
FROM A股公司行业划分表
WHERE 股票代码 = '000778'
AND 行业划分标准 = '中信行业分类'
ORDER BY 交易日期 DESC
LIMIT 1;",[{'二级行业名称': '普钢'}],股票000778在中信行业分类下的二级行业是普钢。
"请查询：2019年6月年报(含半年报),持有17常德鼎力债且是前5大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20190630'
AND 报告类型 = '年报(含半年报)'
AND 债券名称 = '17常德鼎力债'
AND 第N大重仓股 <= 5
LIMIT 1;",[{'数量': 1}],"2019年6月年报(含半年报),持有17常德鼎力债且是前5大重仓股的基金有1个。"
20211222港股下跌的股票家数有多少家?,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20211222'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 1073}],20211222港股下跌的股票家数有1073家。
请帮我查询出20200102日，建筑装饰一级行业涨幅超过3%（不包含）的股票数量。,"SELECT COUNT(DISTINCT(t1.股票代码)) AS 数量
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200102'
AND t2.一级行业名称 = '建筑装饰'
AND (t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) * 100 > 3
LIMIT 1;",[{'数量': 13}],20200102日，建筑装饰一级行业涨幅超过3%（不包含）的股票数量是13只。
请帮我计算，代码为600186的股票，2019年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '600186'
    AND 交易日 LIKE '2019%'
),
t2 AS (
    SELECT [今开盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 年化收益率
FROM t2 JOIN t3
LIMIT 1;",[{'年化收益率': 45.03}],代码为600186的股票，2019年一年持有的年化收益率为45.03%。
我想知道在2020年，民生加银基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"WITH t1 AS (
    SELECT *
    FROM 基金规模变动表
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '民生加银基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '基金定期报告'
    GROUP BY 基金代码
    HAVING 截止日期 = MAX(截止日期)
)
SELECT COUNT(*) AS 数量
FROM t1
WHERE 报告期期初基金总份额 < 报告期期末基金总份额
LIMIT 1;",[{'数量': 20}],在2020年，民生加银基金管理有限公司已发行的基金中，有20只基金报告期期初基金总份额小于报告期期末基金总份额。
在2020年的中期报告里，宏利基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,"WITH t1 AS (
    SELECT *
    FROM 基金份额持有人结构
    WHERE 基金代码 IN (
        SELECT 基金代码
        FROM 基金基本信息
        WHERE 管理人 = '宏利基金管理有限公司'
    )
    AND 定期报告所属年度 = 2020
    AND 报告类型 = '中期报告'
)
SELECT ROUND(CAST(SUM(个人投资者持有的基金份额 > 机构投资者持有的基金份额) AS FLOAT) / COUNT(*) * 100, 2) AS 比例
FROM t1
LIMIT 1;",[{'比例': 78.57}],在2020年的中期报告里，宏利基金管理有限公司管理的基金中，有78.57%的基金是个人投资者持有的份额超过机构投资者。
请帮我查询下股票代码为000928的股票在2019年内最高日收盘价是多少？,"SELECT MAX([收盘价(元)]) AS 最高日收盘价
FROM A股票日行情表
WHERE 股票代码 = '000928'
AND 交易日 LIKE '2019%'
LIMIT 1;",[{'最高日收盘价': 7.49}],股票代码为000928的股票在2019年内最高日收盘价是7.49。
"请查询：2020年6月季报,持有20进出12且是前6大重仓股的基金有几个？","SELECT COUNT(*) AS 数量
FROM 基金债券持仓明细
WHERE 持仓日期 = '20200630'
AND 报告类型 = '季报'
AND 债券名称 = '20进出12'
AND 第N大重仓股 <= 6
LIMIT 1;",[{'数量': 0}],"2020年6月季报,持有20进出12且是前6大重仓股的基金有0个。"
帮我查一下在2019年，代码为600793的A股股票今开盘低于昨收盘的天数？,"SELECT COUNT(交易日) AS 天数
FROM A股票日行情表
WHERE 股票代码 = '600793'
AND 交易日 LIKE '2019%'
AND [今开盘(元)] < [昨收盘(元)]
LIMIT 1;",[{'天数': 103}],在2019年，代码为600793的A股股票今开盘低于昨收盘的天数是103天。
20190715港股下跌的股票家数有多少家?,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20190715'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 1175}],20190715港股下跌的股票家数有1175家。
在2020年报中，长江量化匠心甄选股票A基金第二大重仓股的代码和股票名称是什么？,"SELECT 股票代码, 股票名称
FROM 基金股票持仓明细
WHERE 持仓日期 = '20201231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '长江量化匠心甄选股票A'
AND 第N大重仓股 = 2
LIMIT 1;","[{'股票代码': '000568', '股票名称': '泸州老窖'}]",在2020年报中，长江量化匠心甄选股票A基金第二大重仓股的代码是000568，股票名称是泸州老窖。
20200813日，一级行业为汽车的股票的成交量合计是多少？取整。,"SELECT CAST(SUM([成交量(股)]) AS INTEGER) AS 成交量合计
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20200813'
AND t2.一级行业名称 = '汽车'
LIMIT 1;",[{'成交量合计': 6034284988}],20200813日，一级行业为汽车的股票的成交量合计是6034284988股。
请帮我查询在截止2020-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-06-30%'
AND 报告类型 = '基金定期报告'
AND 报告期基金总赎回份额 = 0
LIMIT 1;",[{'数量': 546}],在截止2020-06-30的基金定期报告中，基金总赎回份额为零的基金有546个。
20191129港股下跌的股票家数有多少家?,"SELECT COUNT(股票代码) AS 数量
FROM 港股票日行情表
WHERE 交易日 = '20191129'
AND [收盘价(元)] < [昨收盘(元)]
LIMIT 1;",[{'数量': 1687}],20191129港股下跌的股票家数有1687家。
"我想了解一下中信建投基金管理有限公司2020年成立的股票型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(管理费率), 2) AS 平均管理费率
FROM 基金基本信息
WHERE 管理人 = '中信建投基金管理有限公司'
AND 成立日期 LIKE '2020%'
AND 基金类型 = '股票型'
LIMIT 1;",[{'平均管理费率': 0.75}],"中信建投基金管理有限公司2020年成立的股票型基金,其管理费率的平均值是0.75%。"
请帮我查询在截止2020-09-30的基金定期报告中，期末基金总份额为零的基金有几个？,"SELECT COUNT(基金代码) AS 数量
FROM 基金规模变动表
WHERE 截止日期 LIKE '2020-09-30%'
AND 报告类型 = '基金定期报告'
AND 报告期期末基金总份额 = 0
LIMIT 1;",[{'数量': 22}],在截止2020-09-30的基金定期报告中，期末基金总份额为零的基金有22个。
"我想了解弘毅远方经济新动力混合A基金,在2021年四季度的季报第2大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '弘毅远方经济新动力混合A'
        AND 持仓日期 = '20211231'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 2
        LIMIT 1
    )
    AND 交易日 BETWEEN '20211001' AND '20211231'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': 11.84}],"弘毅远方经济新动力混合A基金,在2021年四季度的季报第2大重股当个季度的涨跌幅是11.84%。"
中国人保资产管理有限公司2020年成立了多少基金?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '中国人保资产管理有限公司'
AND 成立日期 LIKE '2020%'
LIMIT 1;",[{'数量': 3}],中国人保资产管理有限公司2020年成立了3只基金。
20210907日，食品饮料一级行业有多少只A股股票？,"SELECT COUNT(*) AS 数量
FROM A股公司行业划分表
WHERE 交易日期 = '20210907'
AND 一级行业名称 = '食品饮料'
LIMIT 1;",[{'数量': 258}],20210907日，食品饮料一级行业有258只A股股票。
请问股票代码为601011的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '601011'
    AND 交易日 LIKE '2021%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 157}],股票代码为601011的股票在2021年内日成交量低于该股票当年平均日成交量的有157个交易日。
请查询：在20210210，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG([成交金额(元)]), 5) AS 平均成交金额
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20210210'
AND t2.行业划分标准 = '申万行业分类'
AND t2.二级行业名称 = '仪器仪表'
LIMIT 1;",[{'平均成交金额': 49258003.225}],在20210210，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是49258003.22500元。
请帮我计算，代码为300413的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '300413'
    AND 交易日 LIKE '2020%'
),
t2 AS (
    SELECT [今开盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 年化收益率
FROM t2 JOIN t3
LIMIT 1;",[{'年化收益率': 107.14}],代码为300413的股票，2020年一年持有的年化收益率为107.14%。
"请帮我查询在2019年,长城基金管理有限公司成立哪种类型的基金个数最多?","SELECT 基金类型
FROM 基金基本信息
WHERE 成立日期 LIKE '2019%'
AND 管理人 = '长城基金管理有限公司'
GROUP BY 基金类型
ORDER BY COUNT(*) DESC
LIMIT 1;",[{'基金类型': '混合型'}],"在2019年,长城基金管理有限公司成立混合型的基金个数最多。"
请问股票代码为688520的股票在2020年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '688520'
    AND 交易日 LIKE '2020%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 96}],股票代码为688520的股票在2020年内日成交量低于该股票当年平均日成交量的有96个交易日。
"请帮我查询下在2021年, 兴业基金管理有限公司管理的债券型基金中，持有过小微企业扶持债券的基金有多少只？","SELECT COUNT(DISTINCT(基金代码)) AS 数量
FROM 基金债券持仓明细
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 管理人 = '兴业基金管理有限公司'
)
AND 持仓日期 LIKE '2021%'
AND 债券类型 = '小微企业扶持债券'
LIMIT 1;",[{'数量': 0}],"在2021年, 兴业基金管理有限公司管理的债券型基金中，持有过小微企业扶持债券的基金有0只。"
针对2021年的年度报告，有多少家基金的机构投资者持有份额占比不足51%?,"SELECT COUNT(基金代码) AS 数量
FROM 基金份额持有人结构
WHERE 定期报告所属年度 = 2021
AND 报告类型 = '年度报告'
AND 机构投资者持有的基金份额占总份额比例 < 51
LIMIT 1;",[{'数量': 2693}],针对2021年的年度报告，有2693家基金的机构投资者持有份额占比不足51%。
股票603737在20210113日期中的收盘价是多少?（小数点保留3位）,"SELECT ROUND([收盘价(元)], 3) AS 收盘价
FROM A股票日行情表
WHERE 股票代码 = '603737'
AND 交易日 = '20210113'
LIMIT 1;",[{'收盘价': 153.31}],股票603737在20210113日期中的收盘价是153.310元。
请帮我查询下，在2021年Q1季报报告中，008897基金的第三大重仓可转债同期还有多少只基金也进行了持仓？,"WITH t1 AS (
    SELECT *
    FROM 基金可转债持仓明细
    WHERE 持仓日期 = '20210331'
    AND 报告类型 = '季报'
)
SELECT COUNT(基金代码) AS 数量
FROM t1
WHERE 对应股票代码 = (
    SELECT 对应股票代码
    FROM t1
    WHERE 基金代码 = '008897'
    AND 第N大重仓股 = 3
    LIMIT 1
)
AND 基金代码 != '008897'
LIMIT 1;",[{'数量': 43}],在2021年Q1季报报告中，008897基金的第三大重仓可转债同期还有43只基金也进行了持仓。
民生加银基金管理有限公司管理的股票型产品的数量有多少?,"SELECT COUNT(基金代码) AS 数量
FROM 基金基本信息
WHERE 管理人 = '民生加银基金管理有限公司'
AND 基金类型 = '股票型'
LIMIT 1;",[{'数量': 10}],民生加银基金管理有限公司管理的股票型产品的数量10个。
在2021年报中，嘉实沪深300红利低波动ETF联接C基金第七大重仓股的代码和股票名称是什么？,"SELECT 股票代码, 股票名称
FROM 基金股票持仓明细
WHERE 持仓日期 = '20211231'
AND 报告类型 = '年报(含半年报)'
AND 基金简称 = '嘉实沪深300红利低波动ETF联接C'
AND 第N大重仓股 = 7
LIMIT 1;","[{'股票代码': '600015', '股票名称': '华夏银行'}]",在2021年报中，嘉实沪深300红利低波动ETF联接C基金第七大重仓股的代码是600015，股票名称是华夏银行。
帮我查一下浦银安盛盛勤3个月定期开放债券A基金在20200226的资产净值和单位净值是多少?,"SELECT 资产净值, 单位净值
FROM 基金日行情表
WHERE 基金代码 = (
    SELECT 基金代码
    FROM 基金基本信息
    WHERE 基金简称 = '浦银安盛盛勤3个月定期开放债券A'
    LIMIT 1
)
AND 交易日期 = '20200226'
LIMIT 1;","[{'资产净值': 5059656570.7, '单位净值': 1.0884}]",浦银安盛盛勤3个月定期开放债券A基金在20200226的资产净值是5059656570.7元，单位净值是1.0884元。
汇添富稳健添盈一年持有期混合基金在20201231且报告类型是季报的持债市值中，哪类债券市值最高？,"SELECT 债券类型
FROM 基金债券持仓明细
WHERE 基金简称 = '汇添富稳健添盈一年持有期混合'
AND 持仓日期 = '20201231'
AND 报告类型 = '季报'
GROUP BY 债券类型
ORDER BY SUM(持债市值) DESC
LIMIT 1;",[{'债券类型': '同业存单'}],汇添富稳健添盈一年持有期混合基金在20201231且报告类型是季报的持债市值中，同业存单类债券市值最高。
"我想了解东兴兴晟混合C基金,在2021年一季度的季报第4大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。","WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = (
        SELECT 股票代码
        FROM 基金股票持仓明细
        WHERE 基金简称 = '东兴兴晟混合C'
        AND 持仓日期 = '20210331'
        AND 报告类型 = '季报'
        AND 第N大重仓股 = 4
        LIMIT 1
    )
    AND 交易日 BETWEEN '20210101' AND '20210331'
),
t2 AS (
    SELECT [昨收盘(元)] AS 期初价
    FROM t1
    ORDER BY 交易日 ASC
    LIMIT 1
),
t3 AS (
    SELECT [收盘价(元)] AS 期末价
    FROM t1
    ORDER BY 交易日 DESC
    LIMIT 1
)
SELECT ROUND((t3.期末价 / t2.期初价 - 1) * 100, 2) AS 涨跌幅
FROM t2 JOIN t3
LIMIT 1;",[{'涨跌幅': -17.21}],"东兴兴晟混合C基金,在2021年一季度的季报第4大重股当个季度的涨跌幅是-17.21%。"
太平洋证券股份有限公司管理的混合型产品的数量有多少?,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 管理人 = '太平洋证券股份有限公司'
AND 基金类型 = '混合型'
LIMIT 1;",[{'数量': 0}],太平洋证券股份有限公司管理的混合型产品的数量有0只。
请查询在2019年度，301073股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS 天数
FROM A股票日行情表
WHERE 交易日 LIKE '2019%'
AND 股票代码 = '301073'
AND ([收盘价(元)] / [昨收盘(元)] - 1) >= 0.098
LIMIT 1;",[{'天数': 0}],在2019年度，301073股票涨停天数是0天。
请查询在20190827日期，中信行业分类下综合一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 = '20190827'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '综合'
ORDER BY t1.[最高价(元)] - t1.[最低价(元)] DESC
LIMIT 1;",[{'股票代码': '000025'}],在20190827日期，中信行业分类下综合一级行业中，当日收盘价波动最大的股票代码是000025。
请问股票代码为000690的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,"WITH t1 AS (
    SELECT *
    FROM A股票日行情表
    WHERE 股票代码 = '000690'
    AND 交易日 LIKE '2019%'
)
SELECT COUNT(*) AS 天数
FROM t1
WHERE [成交量(股)] < (
    SELECT AVG([成交量(股)])
    FROM t1
    LIMIT 1
)
LIMIT 1;",[{'天数': 164}],股票代码为000690的股票在2019年内日成交量低于该股票当年平均日成交量的有164个交易日。
请查询：在2021的中期报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,"SELECT COUNT(*) AS 数量
FROM 基金基本信息
WHERE 基金代码 IN (
    SELECT 基金代码
    FROM 基金份额持有人结构
    WHERE 定期报告所属年度 = 2021
    AND 报告类型 = '中期报告'
    AND 个人投资者持有的基金份额 > 机构投资者持有的基金份额
)
AND 基金类型 = '债券型'
LIMIT 1;",[{'数量': 659}],在2021的中期报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有659个。
"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，中信行业分类行业划分标准,家电一级行业中, 代码为多少的股票的日均收益率最高？","SELECT t1.股票代码
FROM A股票日行情表 t1 JOIN A股公司行业划分表 t2
ON t1.股票代码 = t2.股票代码
AND t1.交易日 = t2.交易日期
AND t1.交易日 LIKE '2021%'
AND t2.行业划分标准 = '中信行业分类'
AND t2.一级行业名称 = '家电'
GROUP BY t1.股票代码
ORDER BY AVG(t1.[收盘价(元)] / t1.[昨收盘(元)] - 1) DESC
LIMIT 1;",[{'股票代码': '688793'}],"在2021年，中信行业分类行业划分标准,家电一级行业中, 代码为688793的股票的日均收益率最高。"
